Elon Musk;5001;Level_A
Jeff Bezos;5002;Level_B
Mark Zuckerberg;5003;Level_A
Bill Gates;5004;Level_C
Steve Jobs;5005;Level_A
Sundar Pichai;5006;Level_B
Satya Nadella;5007;Level_B
Tim Cook;5008;Level_C
Larry Page;5009;Level_A
Sergey Brin;5010;Level_A
Warren Buffett;5011;Level_C
Larry Ellison;5012;Level_B
Michael Dell;5013;Level_C
Jack Ma;5014;Level_B
Pony Ma;5015;Level_B
Reed Hastings;5016;Level_C
Susan Wojcicki;5017;Level_B
Sheryl Sandberg;5018;Level_C
Marissa Mayer;5019;Level_C
Andy Jassy;5020;Level_B
Jensen Huang;5021;Level_A
Lisa Su;5022;Level_A
Paul Allen;5023;Level_C
Steve Ballmer;5024;Level_B
Jeff Weiner;5025;Level_C
